NAMELSAD,Population,Life_Expectancy_2010_2015
Census Tract 2,2266,72.7
Census Tract 5,3608,79.7
Census Tract 7,3290,71.90280551
Census Tract 8,6052,77.30005456
Census Tract 9.01,4731,73.7
Census Tract 9.02,6833,80.9
Census Tract 10,4366,77.8
Census Tract 11,3519,84.3
Census Tract 12.01,6611,77.8
Census Tract 12.03,4414,82.1
Census Tract 12.04,3453,84.5
Census Tract 12.05,7271,86.9
Census Tract 12.06,1886,84.2
Census Tract 13.01,5796,84
Census Tract 13.02,4892,79.9
Census Tract 14,7616,83.7
Census Tract 53,3800,72.7
Census Tract 54.01,4531,75.4
Census Tract 54.02,3170,78.89793767
Census Tract 55,5289,74.4
Census Tract 56.01,6088,76.7
Census Tract 56.02,2441,82.27901543
Census Tract 57.01,5030,80.8
Census Tract 57.02,1559,84.3
Census Tract 58,3479,85.5
Census Tract 101,4529,76.50078484
Census Tract 102.04,4377,77.49633324
Census Tract 103,3494,76.90179988
Census Tract 104,4498,75.89999813
Census Tract 105,4593,88.2999997
Census Tract 106.01,5749,79.6
Census Tract 106.03,7972,85.3
Census Tract 106.04,2451,79.1002457
Census Tract 107.01,3875,80.9
Census Tract 107.02,3767,80.9
Census Tract 108,4313,81.8
Census Tract 109.01,6029,81.3
Census Tract 109.02,4215,81.3
Census Tract 110.01,2072,79.49978543
Census Tract 110.02,1888,79.5