GEOID,NAMELSAD,Poverty Rate
17019000020,Census Tract 2,45.1
17019000301,Census Tract 3.01,86.7
17019000302,Census Tract 3.02,60.4
17019000401,Census Tract 4.01,90.7
17019000402,Census Tract 4.02,87.8
17019000050,Census Tract 5,17.2
17019000070,Census Tract 7,24.8
17019000080,Census Tract 8,12.5
17019000901,Census Tract 9.01,13.7
17019000902,Census Tract 9.02,7.8
17019000100,Census Tract 10,21.8
17019000110,Census Tract 11,5.6
17019001201,Census Tract 12.01,24.6
17019001203,Census Tract 12.03,3.3
17019001204,Census Tract 12.04,4
17019001205,Census Tract 12.05,10.3
17019001206,Census Tract 12.06,3.9
17019001301,Census Tract 13.01,5
17019001302,Census Tract 13.02,7.2
17019000140,Census Tract 14,11.8
17019000530,Census Tract 53,42.9
17019005401,Census Tract 54.01,15.2
17019005402,Census Tract 54.02,18.8
17019000550,Census Tract 55,18.6
17019005601,Census Tract 56.01,12.8
17019005602,Census Tract 56.02,14.4
17019005701,Census Tract 57.01,13.8
17019005702,Census Tract 57.02,1.1
17019000580,Census Tract 58,30.6
17019005901,Census Tract 59.01,69.4
17019005902,Census Tract 59.02,66.8
17019000600,Census Tract 60,30.2
17019001010,Census Tract 101,6.9
17019010204,Census Tract 102.04,20.1
17019001030,Census Tract 103,30.1
17019001040,Census Tract 104,8.2
17019001050,Census Tract 105,2.2
17019010601,Census Tract 106.01,2.1
17019010603,Census Tract 106.03,6
17019010604,Census Tract 106.04,11.7
17019010701,Census Tract 107.01,4.3
17019010702,Census Tract 107.02,6.9
17019001080,Census Tract 108,7.5
17019010901,Census Tract 109.01,6.1
17019010902,Census Tract 109.02,5.1
17019011001,Census Tract 110.01,8.9
17019011002,Census Tract 110.02,18.1
17019001110,Census Tract 111,45.9